# RL 动作选择统计
"# 行: 状态 (0-8), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
"S0(低div,停滞)",38,4,1,34,0,29,106
"S1(低div,慢)",12,1,1,0,0,1,15
"S2(低div,快)",51,99,93,150,57,18,468
"S3(中div,停滞)",1,0,0,0,0,1,2
"S4(中div,慢)",1,0,0,0,0,0,1
"S5(中div,快)",1,0,0,0,0,0,1
"S6(高div,停滞)",4,0,0,0,0,0,4
"S7(高div,慢)",0,0,0,0,0,0,0
"S8(高div,快)",3,0,0,0,0,0,3
Total,111,104,95,184,57,49,600
